caption_id,track_id,caption,is_valid_subset,familiarity,artist_id,album_id,path,duration,genre,instrument,mood/theme
859,1004034,Electronic music that has a constant melody throughout with accompanying instruments used to supplement the melody which can be heard in possibly a casual setting,True,0,368880,118196,34/1004034.mp3,202.5,"['electronic', 'house', 'progressive', 'trance']",[],[]
990,1007274,"acoustic guitar solo track with consistent rhythm and repeating progression, suitable for a relaxing afternoon tea",True,1,429137,118548,74/1007274.mp3,140.2,['easylistening'],[],[]
233,1009671,"A rock song with a country vibe, it has male vocals, drums, and acoustic guitar. It is an upbeat song",,0,7063,118858,71/1009671.mp3,160.1,"['electronic', 'pop', 'popfolk', 'rock']","['acousticguitar', 'drum', 'piano', 'synthesizer']","['commercial', 'entertainment']"
810,1009671,Upbeat fast tempo with a blues rock feel that one can dance,True,2,7063,118858,71/1009671.mp3,160.1,"['electronic', 'pop', 'popfolk', 'rock']","['acousticguitar', 'drum', 'piano', 'synthesizer']","['commercial', 'entertainment']"
622,1009671,A classic chord progression used in a playful way to give sound for sunny day.,True,1,7063,118858,71/1009671.mp3,160.1,"['electronic', 'pop', 'popfolk', 'rock']","['acousticguitar', 'drum', 'piano', 'synthesizer']","['commercial', 'entertainment']"
159,1009671,Uplifting English rock and roll song with a positive feeling.,True,1,7063,118858,71/1009671.mp3,160.1,"['electronic', 'pop', 'popfolk', 'rock']","['acousticguitar', 'drum', 'piano', 'synthesizer']","['commercial', 'entertainment']"
1092,1009672,A joyful and lively song that will make you want to dance right away,True,1,7063,118858,72/1009672.mp3,147.9,"['electronic', 'pop']","['bass', 'drum', 'piano', 'synthesizer']","['commercial', 'entertainment', 'fashion']"
1060,1009672,This rock song has an indie rock genre but with a dancing  joyful vibe to it and licks / effects using synths along with whistle at the end,True,1,7063,118858,72/1009672.mp3,147.9,"['electronic', 'pop']","['bass', 'drum', 'piano', 'synthesizer']","['commercial', 'entertainment', 'fashion']"
82,1009672,"The song is closer to alternative rock / indie rock genres, with a happy and uplifting mood, danceable,  the main singer is male and there are brass instruments in the accompaniment",True,1,7063,118858,72/1009672.mp3,147.9,"['electronic', 'pop']","['bass', 'drum', 'piano', 'synthesizer']","['commercial', 'entertainment', 'fashion']"
855,1009673,Upbeat song that has a humming riff accompanied by guitar licks that can be used for a casual listening setting,True,1,7063,118858,73/1009673.mp3,169.0,"['folk', 'pop', 'popfolk']","['acousticguitar', 'drum', 'piano', 'synthesizer']","['commercial', 'communication', 'entertainment']"
